id_cliente,nome,citta,settore,fatturato
1,Azienda_1,Napoli,Turismo,1565689
2,Azienda_2,Firenze,Edilizia,168148
3,Azienda_3,Torino,Manifattura,1925665
4,Azienda_4,Firenze,Manifattura,2845683
5,Azienda_5,Firenze,Alimentare,2875995
6,Azienda_6,Roma,Alimentare,2769995
7,Azienda_7,Torino,Tecnologia,356508
8,Azienda_8,Torino,Edilizia,903591
9,Azienda_9,Torino,Edilizia,996942
10,Azienda_10,Firenze,Alimentare,2303682
11,Azienda_11,Napoli,Edilizia,704365
12,Azienda_12,Torino,Edilizia,1970928
13,Azienda_13,Bologna,Manifattura,2657489
14,Azienda_14,Firenze,Alimentare,1873415
15,Azienda_15,Roma,Turismo,2155555
16,Azienda_16,Napoli,Alimentare,905889
17,Azienda_17,Bologna,Turismo,1608349
18,Azienda_18,Bologna,Manifattura,2405413
19,Azienda_19,Roma,Tecnologia,1463715
20,Azienda_20,Napoli,Edilizia,1320405
21,Azienda_21,Firenze,Manifattura,371836
22,Azienda_22,Milano,Edilizia,2195505
23,Azienda_23,Napoli,Tecnologia,2399435
24,Azienda_24,Roma,Tecnologia,296769
25,Azienda_25,Bologna,Manifattura,2758505
